,Model,Precision,Avg-Recall,Recall Class 0,F1-Score,Accuracy,AUC (Macro),Training Time
0,Random Forest,0.8092772210653508,0.8090100423926847,0.8308329022245214,0.8090145712982211,0.8179,0.9294110795458633,16.027827978134155
1,Bagging Classifier,0.7840294152923505,0.7752467913381031,0.8223831695119849,0.7787917582143825,0.79215,0.9078037718767438,9.900404930114746
2,Extra Trees,0.8220019912811205,0.8214039873708884,0.8449732712536644,0.8215608725221143,0.8289,0.9358698066381329,5.862122058868408
