,Model,Precision,Avg-Recall,Recall Class 0,F1-Score,Accuracy,AUC (Macro),Training Time
0,AdaBoost,0.6996877645906769,0.6948285757423788,0.6863252284876703,0.6971916026257065,0.7149,0.7573454519957065,1.59342622756958
1,XGBoost,0.7551594537249193,0.7569729225913958,0.7434040351784791,0.7558981518520023,0.7704,0.9073891222725701,0.5813298225402832
2,LightGBM,0.7280858418336583,0.7342193035408093,0.7002931539920676,0.7300041575449049,0.7475,0.8934593640715182,0.6691920757293701
