,Model,Precision,Avg-Recall,Recall Class 0,F1-Score,Accuracy,AUC (Macro),Training Time
0,AdaBoost,0.7288442599132381,0.727736308338947,0.7139161924469736,0.7278652141495376,0.74665,0.890259721869362,42.98663115501404
1,XGBoost,0.8092354007935376,0.8108004407039734,0.8180720813933436,0.8099803046737546,0.8173,0.9317511986384778,2.9409947395324707
2,LightGBM,0.7871690909203414,0.7933914634543608,0.7909984480082773,0.7901913835234877,0.79885,0.9223213926026045,2.468677043914795
