,Model,Precision,Avg-Recall,Recall Class 0,F1-Score,Accuracy,AUC (Macro),Training Time
0,Random Forest,0.8234156089491916,0.823349598668333,0.8511812381445076,0.8231663161144072,0.8308,0.9375913578085667,48.74480986595154
1,Bagging Classifier,0.8257397874036344,0.8227062456970161,0.8553198827384032,0.8238958437696352,0.83135,0.9386796113084013,118.23265099525452
2,Extra Trees,0.8221097581537737,0.8203721005670112,0.8441110536299362,0.8211052652761334,0.82885,0.935985966561609,11.668092250823975
